"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-02-17T12:57:41.000Z","image","#दलान_दलील: जनतासँग डा. सी. के. राउत।
शुक्रबार सप्तरी निर्वाचन क्षेत्र नम्बर २ को मधेपुरा, कट्टी, बनरझुला, टिकुलिया, बरसाइन,  कुसहा, सकरपुरा, बेलही  र लौनियामा सम्पन्न।","","https://pbs.twimg.com/media/FpK5nYQaUAA7Fm7?format=jpg&name=small,https://pbs.twimg.com/media/FpK5n-yacAACncq?format=jpg&name=small,https://pbs.twimg.com/media/FpK5o2KaAAE8P1p?format=jpg&name=small,https://pbs.twimg.com/media/FpK5ppUaQAASgEb?format=jpg&name=small","160","7","2"
"2023-02-17T12:55:31.000Z","image","पानी परीक्षण घु्म्ती सेवा (भ्यान) ले सप्तरी निर्वाचन क्षेत्र नं २ को लौनियामा पानी परीक्षण गर्दै। यो घुम्ती सेवा विभिन्न गाउँहरु हुँदै जानेछ र तपाईंहरु पनि आफ्नो कल वा धाराको पानी पिउन योग्य भए नभएको, #आर्सेनिकको मात्रा स्वीकार्य योग्य भए नभएको  चेकजाँच गर्न सक्नुहुन्छ🙏","","https://pbs.twimg.com/media/FpK5JYCagAEWXp9?format=jpg&name=medium,https://pbs.twimg.com/media/FpK5KAcacAAnVG0?format=jpg&name=medium","1.2K","99","42"
"2022-12-30T07:24:23.000Z","image","आज आफ्नै निर्वाचन क्षेत्रमा जनताको‌ दुःखसुख सँगै 🙏","","https://pbs.twimg.com/media/FlNXZ6gaMAI3AR5?format=jpg&name=medium,https://pbs.twimg.com/media/FlNXaveaYAIKe74?format=jpg&name=small,https://pbs.twimg.com/media/FlNXbj8aUAEQ4h6?format=jpg&name=small,https://pbs.twimg.com/media/FlNXdbiaUAEPVyo?format=jpg&name=small","522","8","18"
"2022-12-27T03:22:13.000Z","image","शुभप्रभात !🙏काठमाडौं बस्न डेरा/घर खोज्नै गार्‍हो, आज पनि जाँदैछु। बरू काठमाडौं भएको बेला एकान्तमा यस्तै #डाँडाकाँडातिर बसौंबसौं लाग्ने - कस्ता रमणीय र ध्यान लाग्ने ठाउँहरू। घ्याम्पे डाँडास्थित #पाइलटबाबा आश्रम गत शनिबार जाँदाको तस्वीर।","","https://pbs.twimg.com/media/Fk9CzvhaMAYsosY?format=jpg&name=medium","2K","52","96"
"2022-12-27T02:44:29.000Z","text","","","","80","8","10"
"2022-12-26T13:05:37.000Z","video","'म खासमा सांसदका लागि पनि योग्य मान्छे होइन, मन्त्रीको त परको कुरा भयो [परिस्थिति, बाध्यता वा जिम्मेबारीले भएको चाहिँ अर्कै कुरा हो।]' गठबन्धनको बैठकपछि तपाई आफू चाहिँ सरकारमा नजाने भन्ने सञ्चाकर्मीहरुको प्रश्नमा कुरा गर्दै उनले भने।🙏 #drckraut","","https://pbs.twimg.com/ext_tw_video_thumb/1607361756137127937/pu/img/SyI35IZRqu-CAW9f.jpg","567","48","21"
"2022-12-26T11:47:01.000Z","image","म एक `निस्काम कर्मयोगी´- डा. सीके राउत #तमसोमा_ज्योतिर्गमय सोमवार आज राति ९:०० बजे","","https://pbs.twimg.com/media/Fk5tOE1aEAEvx0k?format=jpg&name=medium","314","11","14"
"2022-12-26T09:56:25.000Z","text","तपाई आफू चाहिँ सरकारमा नजाने भन्ने सञ्चाकर्मीहरुको प्रश्नमा कुरा गर्दै उनले भने, ‘म खासमा सांसदका लागि पनि योग्य मान्छे होइन, मन्त्रीको त परको कुरा भयो । परिस्थिति, बाध्यता र जिम्मेवारी अर्कै कुरा हो।","","","581","30","18"
"2022-12-26T09:39:33.000Z","text","","","","132","11","12"
"2022-12-25T16:01:33.000Z","image","सत्ताको पहिलो क्लास आज - पहिलो क्लासमै यति धेरै ज्ञान र वितृष्णा होला जस्तो लागेको थिएन। बस म त सुनिरहें। 

काँधमा लाखौं जनताको अपेक्षा र जिम्मेबारी नभइदिने हो भने म कतिखेर राजनीतिबाट पनि सन्यास लिइसक्थें होला। 

तर आफैं जलेर, कालो खरानी बने पनि, उज्यालो पार्नु छ रे ! मेरो नियति।","","https://pbs.twimg.com/media/Fk1dbvGakAE5yJP?format=jpg&name=medium","3.2K","166","183"
"2022-12-24T16:08:45.000Z","text","Irony at the best: Oath in Madhesi riles Madhesi Commission","","","53","4","3"
"2022-12-24T07:19:34.000Z","image","गजेन्द्र नारायण सिंह #अस्पताल #राजबिराज सुधारको पहिलो कदम - जनताको सुझाव र सहयोगबाट नै यो सम्भव हुन सक्छ। #रेफरल_सेन्टरमा सिमित हुन पुगेको अस्पताललाई जोगाऔं।  #नि:शुल्क पाउनुपर्ने #औषधी पनि अस्पतालले विरामीलाई उपलब्ध गराएन भने त्यो पनि खबर गर्नुहोला🙏","","https://pbs.twimg.com/media/FkuczSPakAAygqv?format=jpg&name=medium","330","29","16"
"2022-12-24T07:11:39.000Z","image","गजेन्द्र नारायण सिंह अस्पताल राजविराज सुधारको पहिलो कदम - जनताको सुझाव र सहयोगबाट नै यो सम्भव हुन सक्छ🙏","","https://pbs.twimg.com/media/Fkua6a2aAAAZY8p?format=jpg&name=medium","1.2K","101","57"
"2022-12-23T16:42:21.000Z","image","","","https://pbs.twimg.com/media/FkrUC-_UYAgkKGh?format=jpg&name=small","178","6","12"
"2022-12-23T11:31:36.000Z","text","","","","26","",""
"2022-12-23T09:53:15.000Z","text","","","","105","10","9"
"2022-12-22T16:59:43.000Z","text","","","","56","4","2"
"2022-12-22T16:50:20.000Z","text","","","","51","2","1"
"2022-12-22T16:50:05.000Z","text","","","","37","2",""
"2022-12-22T14:51:52.000Z","image","","","https://pbs.twimg.com/media/FklxKM6akAEDcT2?format=jpg&name=medium","111","6","4"
"2022-12-22T13:49:16.000Z","image","आज #सपथग्रहण गरे पश्चात् ५ वटा कुराको लागि #पहल गर्न औपचारिक पत्र काटेको छु: 
(क) साक्षरता कार्यक्रम संचालन गर्न, 
(ख) सगरमाथा अञ्चल अस्पतालको सुधारको लागि, 
(ग) राजविराजमा हवाई उडान बढाउन र नियमित गर्न, 
(घ) औद्योगिक क्षेत्रलाई सुचारू गर्न, 
(ङ) थप मलखाद उपलब्ध गराउन।
जय जनमत।","","https://pbs.twimg.com/media/FklijG4aYAAuY8E?format=jpg&name=small,https://pbs.twimg.com/media/FkliY69aMAE2Sc-?format=jpg&name=900x900,https://pbs.twimg.com/media/FkliY6zaEAAY8iL?format=jpg&name=900x900,https://pbs.twimg.com/media/FkliY7GaUAADCO-?format=jpg&name=900x900","467","44","44"
"2022-12-22T10:58:34.000Z","image","मलाई मन परेको तस्वीर -  उत्पिडित र सीमान्तकृत वर्गको लागि संघर्ष सड्क, सदन र सरकार सहित तीनवटै मोर्चामा जारी रहन्छ✊","","https://pbs.twimg.com/media/Fkk7xalagAErwiq?format=jpg&name=medium","415","11","8"
"2022-12-07T18:30:38.000Z","image","भेटघाटले दिएको खुशी  - नेपाली साहित्यिक क्षेत्रका दुई मुर्धन्य  हस्तीहरू खगेन्द्र संग्रौला र कुमार नगरकोटीज्युको साथमा🙏","","https://pbs.twimg.com/media/FjZTYmsagAIkjP_?format=jpg&name=medium","1.5K","41","60"
"2022-12-06T10:31:44.000Z","image","सम्माननीय राष्ट्रपतिज्यूसँग शिष्टाचार भेटघाट तथा देशको समसामयिक राजनीतिक निकासको विषयमा छलफल🙏","","https://pbs.twimg.com/media/FjScLNwakAEoP_-?format=jpg&name=medium","1.2K","35","53"
"2022-12-02T15:05:38.000Z","text","NTV मा डा. सी. के. राउतको #रोचक अन्तर्वार्ता - एकपटक अवश्य हेर्नुहोला🙏 अहिले NTV मा राती ८:४० बजे देखि।","","","109","7","3"
"2022-11-29T03:36:45.000Z","image","सप्तरी  - १ निर्वाचन क्षेत्रमा धाँधली भएका प्रमाणहरू। निर्वाचन आयोगले यसको छानबीन गरी पुन:निर्वाचन गराओस् अन्यथा यो परिणाम स्वीकार हुनेछैन।  ","","https://pbs.twimg.com/media/Fis5wdKVQAA2OtT?format=jpg&name=small,https://pbs.twimg.com/media/Fis5wdJVUAAqHFf?format=jpg&name=small","158","20","8"
"2022-11-28T01:01:53.000Z","image","रोजगारीको सम्भावना पहिल्याउन औद्योगिक क्षेत्रको अनुगमन #drckraut #action","","https://pbs.twimg.com/media/FinNCw8aMAAPF7T?format=jpg&name=900x900,https://pbs.twimg.com/media/FinNC_makAECZWc?format=jpg&name=small,https://pbs.twimg.com/media/FinNDP2aUAAKzke?format=jpg&name=small","582","21","33"
